gene_standard_name,gene_name,gene_primary_dbid,cross_ref_id,homolog_standard_name,homolog_systematic_name,homolog_name,disease_identifier,disease_name,data_source,homolog_algorithm,homolog_algorithm_matches,homolog_algorithm_attempts
AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,10555,603100,SLC1,YDL052C,SphingoLipid Compensation,608594,"LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
AGXT,alanine-glyoxylate aminotransferase,189,604285,AGX1,YFL030W,Alanine:Glyoxylate aminotrans(X)ferase,259900,"HYPEROXALURIA, PRIMARY, TYPE I; HP1",DiOPT,OrthoInspector|OrthoFinder|InParanoid|Hieranoid|OMA|Ensembl Compara,6,9
AK3,adenylate kinase 3,50808,609290,ADK2,YER170W,ADenylate Kinase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
AK4,adenylate kinase 4,205,103030,ADK2,YER170W,ADenylate Kinase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)",231,103880,GCY1,YOR120W,Galactose-inducible Crystallin-like Yeast protein,,,DiOPT,OrthoInspector|InParanoid|OMA|SonicParanoid|Ensembl Compara,5,9
AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)",231,103880,YPR1,YDR368W,Yeast Putative Reductase,,,DiOPT,OrthoInspector|InParanoid|OMA|SonicParanoid|Ensembl Compara,5,9
AKR1B10,"aldo-keto reductase family 1, member B10 (aldose reductase)",57016,604707,GCY1,YOR120W,Galactose-inducible Crystallin-like Yeast protein,,,DiOPT,OrthoInspector|InParanoid|OMA|SonicParanoid|Ensembl Compara,5,9
AKR1B10,"aldo-keto reductase family 1, member B10 (aldose reductase)",57016,604707,YPR1,YDR368W,Yeast Putative Reductase,,,DiOPT,OrthoInspector|InParanoid|OMA|SonicParanoid|Ensembl Compara,5,9
AKR1B15,"aldo-keto reductase family 1, member B15",441282,616336,GCY1,YOR120W,Galactose-inducible Crystallin-like Yeast protein,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
AKR1B15,"aldo-keto reductase family 1, member B15",441282,616336,YPR1,YDR368W,Yeast Putative Reductase,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
AKR1C1,"aldo-keto reductase family 1, member C1",1645,600449,GCY1,YOR120W,Galactose-inducible Crystallin-like Yeast protein,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
AKR1C1,"aldo-keto reductase family 1, member C1",1645,600449,YPR1,YDR368W,Yeast Putative Reductase,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
AKR1C2,"aldo-keto reductase family 1, member C2",1646,600450,GCY1,YOR120W,Galactose-inducible Crystallin-like Yeast protein,614279,"46,XY SEX REVERSAL 8; SRXY8",DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
AKR1C2,"aldo-keto reductase family 1, member C2",1646,600450,YPR1,YDR368W,Yeast Putative Reductase,614279,"46,XY SEX REVERSAL 8; SRXY8",DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
ALDH18A1,"aldehyde dehydrogenase 18 family, member A1",5832,138250,PRO2,YOR323C,PROline requiring,601162,"SPASTIC PARAPLEGIA 9A, AUTOSOMAL DOMINANT; SPG9A",DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
ALDH18A1,"aldehyde dehydrogenase 18 family, member A1",5832,138250,PRO2,YOR323C,PROline requiring,219150,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA; ARCL3A",DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
ALDH18A1,"aldehyde dehydrogenase 18 family, member A1",5832,138250,PRO2,YOR323C,PROline requiring,616603,"CUTIS LAXA, AUTOSOMAL DOMINANT 3; ADCL3",DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
ALDH18A1,"aldehyde dehydrogenase 18 family, member A1",5832,138250,PRO2,YOR323C,PROline requiring,616586,"SPASTIC PARAPLEGIA 9B, AUTOSOMAL RECESSIVE; SPG9B",DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
ALDH3A1,"aldehyde dehydrogenase 3 family, member A1",218,100660,HFD1,YMR110C,Homolog of Fatty aldehyde Dehydrogenase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase",85365,607905,ALG2,YGL065C,Asparagine-Linked Glycosylation,616228,"MYASTHENIC SYNDROME, CONGENITAL, 14; CMS14",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase",85365,607905,ALG2,YGL065C,Asparagine-Linked Glycosylation,607906,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii; CDG1I",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ALG3,"ALG3, alpha-1,3- mannosyltransferase",10195,608750,ALG3,YBL082C,Asparagine Linked Glycosylation,601110,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
AMD1,adenosylmethionine decarboxylase 1,262,180980,SPE2,YOL052C,SPErmidine auxotroph,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
AMT,aminomethyltransferase,275,238310,GCV1,YDR019C,GlyCine cleaVage,605899,GLYCINE ENCEPHALOPATHY; GCE,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
AP1B1,"adaptor-related protein complex 1, beta 1 subunit",162,600157,APL1,YJR005W,clathrin Adaptor Protein complex Large chain,,,DiOPT,Ensembl Compara|OMA|PANTHER|OrthoFinder,4,9
AP1B1,"adaptor-related protein complex 1, beta 1 subunit",162,600157,APL2,YKL135C,clathrin Adaptor Protein complex Large chain,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,6,9
AP1S1,adaptor-related protein complex 1 sigma 1 subunit,1174,603531,APS1,YLR170C,clathrin Associated Protein complex Small subunit,609313,"MENTAL RETARDATION, ENTEROPATHY, DEAFNESS, PERIPHERAL NEUROPATHY, ICHTHYOSIS, AND KERATODERMA; MEDNIK",DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
AP2S1,adaptor-related protein complex 2 sigma 1 subunit,1175,602242,APS2,YJR058C,clathrin Associated Protein complex Small subunit,600740,"HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III; HHC3",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
AP3B1,"adaptor-related protein complex 3, beta 1 subunit",8546,603401,APL6,YGR261C,clathrin Adaptor Protein complex Large chain,608233,HERMANSKY-PUDLAK SYNDROME 2; HPS2,DiOPT,PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA,6,9
AP3M1,"adaptor-related protein complex 3, mu 1 subunit",26985,610366,APM3,YBR288C,clathrin Adaptor Protein complex Medium chain,,,DiOPT,Ensembl Compara|Hieranoid|PANTHER|OrthoFinder,4,9
AQP7,aquaporin 7,364,602974,AQY3,YFL054C,AQuaporin from Yeast,614411,GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL,DiOPT,OrthoInspector|PhylomeDB|PANTHER|Hieranoid|SonicParanoid|Ensembl Compara,6,9
AQP9,aquaporin 9,366,602914,AQY3,YFL054C,AQuaporin from Yeast,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|Hieranoid|SonicParanoid|Ensembl Compara,6,9
AQP9,aquaporin 9,366,602914,FPS1,YLL043W,fdp1 Suppressor,,,DiOPT,Ensembl Compara|PhylomeDB|PANTHER,3,9
ARCN1,archain 1,372,600820,RET2,YFR051C,RETrieval from ER,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ARF1,ADP-ribosylation factor 1,375,103180,ARF1,YDL192W,ADP-Ribosylation Factor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
ARF1,ADP-ribosylation factor 1,375,103180,ARF2,YDL137W,ADP-Ribosylation Factor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
ARF3,ADP-ribosylation factor 3,377,103190,ARF1,YDL192W,ADP-Ribosylation Factor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
ARF3,ADP-ribosylation factor 3,377,103190,ARF2,YDL137W,ADP-Ribosylation Factor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
ARF4,ADP-ribosylation factor 4,378,601177,ARF1,YDL192W,ADP-Ribosylation Factor,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|PANTHER,4,9
ARF4,ADP-ribosylation factor 4,378,601177,ARF2,YDL137W,ADP-Ribosylation Factor,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|PANTHER,4,9
ARF6,ADP-ribosylation factor 6,382,600464,ARF3,YOR094W,ADP-Ribosylation Factor,,,DiOPT,PhylomeDB|PANTHER|OrthoFinder|Hieranoid|OMA,5,9
ARFGAP2,ADP-ribosylation factor GTPase activating protein 2,84364,606908,GLO3,YER122C,GLyOxalase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ARHGAP9,Rho GTPase activating protein 9,64333,610576,RGA1,YOR127W,Rho GTPase Activating Protein,,,DiOPT,InParanoid|SonicParanoid|PANTHER,3,9
ARHGAP9,Rho GTPase activating protein 9,64333,610576,RGA2,YDR379W,Rho GTPase Activating Protein,,,DiOPT,InParanoid|SonicParanoid|PANTHER,3,9
ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,396,601925,RDI1,YDL135C,Rho GDP Dissociation Inhibitor,615244,"NEPHROTIC SYNDROME, TYPE 8; NPHS8",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ARL1,ADP-ribosylation factor-like 1,400,603425,ARL1,YBR164C,ADP-Ribosylation factor-Like,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ARPC2,actin related protein 2/3 complex subunit 2,10109,604224,ARC35,YNR035C,ARp2/3 Complex subunit,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ARPC3,actin related protein 2/3 complex subunit 3,10094,604225,ARC18,YLR370C,ARp2/3 Complex subunit,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ARPC4,actin related protein 2/3 complex subunit 4,10093,604226,ARC19,YKL013C,ARp2/3 Complex subunit,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ARPC5,actin related protein 2/3 complex subunit 5,10092,604227,ARC15,YIL062C,ARp2/3 Complex subunit,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,7,9
ARRDC3,arrestin domain containing 3,57561,612464,ALY1,YKR021W,Arrestin-Like Yeast protein,,,DiOPT,PANTHER|Ensembl Compara,2,9
ARRDC3,arrestin domain containing 3,57561,612464,ALY2,YJL084C,Arrestin-Like Yeast protein,,,DiOPT,PANTHER|Ensembl Compara,2,9
ARRDC3,arrestin domain containing 3,57561,612464,CSR2,YPR030W,Chs5 Spa2 Rescue,,,DiOPT,Ensembl Compara|PANTHER,2,9
ARRDC3,arrestin domain containing 3,57561,612464,ECM21,YBL101C,ExtraCellular Mutant,,,DiOPT,PANTHER|Ensembl Compara,2,9
ARRDC3,arrestin domain containing 3,57561,612464,LDB19,YOR322C,Low Dye Binding,,,DiOPT,Ensembl Compara|PANTHER,2,9
ARRDC3,arrestin domain containing 3,57561,612464,RIM8,YGL045W,Regulator of IME2,,,DiOPT,PANTHER|Ensembl Compara,2,9
ARRDC3,arrestin domain containing 3,57561,612464,ROD1,YOR018W,Resistance to O-Dinitrobenzene,,,DiOPT,Ensembl Compara|PANTHER,2,9
ARRDC3,arrestin domain containing 3,57561,612464,ROG3,YFR022W,Revertant Of Glycogen synthase kinase mutation,,,DiOPT,PANTHER|Ensembl Compara,2,9
ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",55616,616594,AGE1,YDR524C,Arf Gap with Effector function(s),,,DiOPT,Ensembl Compara|OrthoFinder,2,9
ASCC3,activating signal cointegrator 1 complex subunit 3,10973,614217,SLH1,YGR271W,SKI2-Like Helicase,,,DiOPT,OrthoInspector|PhylomeDB|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
ASS1,argininosuccinate synthase 1,445,603470,ARG1,YOL058W,ARGinine requiring,215700,"CITRULLINEMIA, CLASSIC",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ATG2B,autophagy related 2B,55102,616226,ATG2,YNL242W,AuTophaGy related,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|Hieranoid|SonicParanoid|Ensembl Compara,6,9
ATG3,autophagy related 3,64422,609606,ATG3,YNR007C,AuTophaGy related,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ATG4A,"autophagy related 4A, cysteine peptidase",115201,300663,ATG4,YNL223W,AuTophaGy related,,,DiOPT,OrthoInspector|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
ATG5,autophagy related 5,9474,604261,ATG5,YPL149W,AuTophaGy related,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1",515,603270,ATP4,YPL078C,ATP synthase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|InParanoid|Hieranoid|OMA|Ensembl Compara,7,9
ATP6V0B,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b",533,603717,VMA16,YHR026W,Vacuolar Membrane Atpase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c",527,108745,VMA3,YEL027W,Vacuolar Membrane Atpase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ATP6V0D1,"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1",9114,607028,VMA6,YLR447C,Vacuolar Membrane Atpase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ATP6V0E1,"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1",8992,603931,VMA9,YCL005W-A,Vacuolar Membrane Atpase,,,DiOPT,Hieranoid|PANTHER|OrthoFinder,3,9
ATP6V1E1,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1",529,108746,VMA4,YOR332W,Vacuolar Membrane Atpase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA,7,9
ATP6V1F,"ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F",9296,607160,VMA7,YGR020C,Vacuolar Membrane Atpase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ATP6V1G1,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1",9550,607296,VMA10,YHR039C-A,,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA,7,9
ATP9A,"ATPase, class II, type 9A",10079,609126,NEO1,YIL048W,NEOmycin-resistance,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
ATP9B,"ATPase, class II, type 9B",374868,614446,NEO1,YIL048W,NEOmycin-resistance,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
BCAT2,"branched chain amino-acid transaminase 2, mitochondrial",587,113530,BAT1,YHR208W,Branched-chain Amino acid Transaminase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
BCAT2,"branched chain amino-acid transaminase 2, mitochondrial",587,113530,BAT2,YJR148W,Branched-chain Amino acid Transaminase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
BOLA3,bolA family member 3,388962,613183,BOL3,YAL046C,BolA-like protein,614299,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2; MMDS2,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|SonicParanoid|Ensembl Compara,7,9
BPGM,"2,3-bisphosphoglycerate mutase",669,613896,GPM1,YKL152C,Glycerate PhosphoMutase,222800,BISPHOSPHOGLYCERATE MUTASE DEFICIENCY,DiOPT,OrthoInspector|PhylomeDB|InParanoid|Hieranoid|SonicParanoid,5,9
BRD1,bromodomain containing 1,23774,604589,NTO1,YPR031W,NuA Three Orf,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|SonicParanoid|Ensembl Compara,5,9
BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit",2972,604902,BRF1,YGR246C,B-Related Factor,616202,CEREBELLOFACIODENTAL SYNDROME; CFDS,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
BUB1,BUB1 mitotic checkpoint serine/threonine kinase,699,602452,BUB1,YGR188C,Budding Uninhibited by Benzimidazole,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
BUB1,BUB1 mitotic checkpoint serine/threonine kinase,699,602452,MAD3,YJL013C,Mitotic Arrest-Deficient,,,DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
BUB3,BUB3 mitotic checkpoint protein,9184,603719,BUB3,YOR026W,Budding Uninhibited by Benzimidazole,,,DiOPT,OMA|PANTHER|OrthoFinder,3,9
BYSL,bystin-like,705,603871,ENP1,YBR247C,Essential Nuclear Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
C12orf65,chromosome 12 open reading frame 65,91574,613541,RSO55,YLR281C,mitochondrial protein Related to Spastic paraplegia with Optic atrophy and neuropathy SPG55,613559,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7; COXPD7,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,7,9
C12orf65,chromosome 12 open reading frame 65,91574,613541,RSO55,YLR281C,mitochondrial protein Related to Spastic paraplegia with Optic atrophy and neuropathy SPG55,615035,"SPASTIC PARAPLEGIA 55, AUTOSOMAL RECESSIVE; SPG55",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,7,9
